muong,viet,mu_sentence,vi_sentence
bớ,mở,Con bớ khách tha hoc ti.,Con mở sách ra học đi.
bớ,vở,,
bớ hàng,mở hàng,Ho bớ hàng cho da măl mẽl.,Tôi là người mở hàng cho bà sẽ bán được đắt hàng.
bớ kẻ,tháo,Da bớ kẻ cải chac ớ kel con chỏ tha chăng?,Anh có tháo cái dây ở cổ con chó ra không?
bớ khả,mở đường,"Chăng bớ khả, chăng là po mà ti ản.",Không mở đường thì làm sao mà đi được.
bớ măt,mở mắt. Tàn chỗ con nì mởi bớ măt,Đàn chó con này mới mở mắt.,
bớ mẽnh,mở miệng,Bớ mẽnh tha cười tà yêu lãi dổ.,Mở miệng ra cười đã yêu lại càng quý.
bớ mẽnh,"mở đầu, khai mào, khơi mào",Hảo pỗ wiêc nì tí bớ mẽnh dòng nò đã thơi.,Mở mào câu chuyện naỳ bằng cách nào đây.
bớ rỗng,mở rộng,Da cỏ hảo bớ rỗng cõn nà nì tha chăng?,Anh có muốn mở rộng thửa ruộng này ra không?
bun,"rủa, chửi",Cử bun khõ pẫu mãi chăng măng mai mốm à?,Cứ chửi rủa người ta mãi mà không thấy mỏi miệng à?
bun khõ,nguyền rủa,Nả cử là cải chiễn cho pẫu bun khõ nả thơi.,Nó cứ làm cái chuyện cho người ta nguyền rủa thôi.
bủn,bộ khô,Tất bún.,"Đất bột khô, bụi đỏ."
bủn,bộ khô,Khũ bủn.,Đá mềm gọt thành bột được.
bủn,bựa,Ăn rồi chăng chĩu tảnh thang điênh thăng da từ bún lẳm.,Ăn rồi không chịu đánh răng nên răng anh nhiều bựa lắm.
bùng đố,bòng nổ,Chiển tlanh bùng đố.,Chiến tranh bùng nổ.
búng,cái nong,Enh cỏ mắt tainh búng chăng è?,Anh có biết đan nong không ạ?
bunh,"tro, gio",Bunh là pũn tla nà.,Tro bếp làm phân bón ruộng.
búnh mủn.,Cải ảo cũ nì tà búnh rồi,Cái áo cũ này đã mủn rồi.,
buôi,vựng,Da ăn buôl cải chỉ dòng đỉ?,Mày ăn vụng cái gì vậy?
buổl,xúc,Buổl mẽnh.,Xúc miệng.
bút,bút,"Cảy bút, tôc mậc. Cái bút, lọ mực.",
bút chì,bút chì Mẩy cải bút chì nì y mắt mó quả,Mấy cây bút chì này mà cũng đắt quá.,
bút lông,bút lông,Bút lông nì viết chữ Hán thôch lẳm.,Bút lông này viết chữ Hán đẹp lắm.
bút mảy,bút máy,Đét tiếu hoc chua ản viết bút mảy.,Trẻ em tiểu học không được viết bút máy.
bút mâc,bút mực,"Câl bút mảy pỡi câi bút mâc, da lễ câl nò?","Chiếc bút máy và chiếc bút mực, em lấy chiếc nào?"
bút pùn,đầy bùn,Chăng mắt nả lanh nà ớ no mà póc miềnh ná bút pùn điênh thỉa.,Không biết nó lăn lộn ở đâu mà mình mẩy đầy bùn như vậy.
bừa,vừa,ảo nì da mặc bừa.,áo này cậu mặc vừa.
bừa bãi,bừa bãi,"Da hay là bừa bãi, chản quả.","Mày hay làm bừa bãi, chán quá."
bừa hãng,vừa bằng,Con ca bừa hãng con khảo.,Con gà vừa bằng con sáo.
bừa hết,"vừa hết, vừa lọt",Lỗ nì bừa hết cố thay.,Lỗ này vừa lọt cổ tay
bưới bưới,giàn giụa,Đac măt nả cháy tha bưới bưới.,Nước mắt nó chảy ra giàn giụa.
bưới bưới,lã chã,Đác mặt tlé bưới bưới thương lẳm thương nổng.,Nước mắt rơi lã chã thương quá đi thôi.
bưới bưới,rưng rức,Nả nhãm bưới bưới cá têm.,Nó khóc rưng rức cả đêm.
ca,gà,Nhà ho cỏ mườl con ca.,Nhà tôi có mười con gà.
ca cảl,gà gáy,Ca khổng cẳl lảng.,Gà trống gáy sáng.
ca chõi,gà chọi,"Da ỏng rão à, po đố tó nhơ ca chõi.","Mày uống rượu à, sao thấy (mặt) đỏ như gà chọi?"
ca chỏl,gà trống,Môch tàn ca cỏ đăm con ca chỏl thốch lẳm.,Một bầy gà có năm con gà trống thật là đẹp.
ca tlĩ,gà trĩ (tên một loại gà.),,
ca có,gà rừng,Ca có thiêng hơn ca nhà.,Gà rừng khỏe hơn gà nhà.
ca dò,gà giò,Nhà mễ Chung cỏ từ ca dò lẳm.,Nhà bà Chung có nhiều gà giò lắm.
ca đác,gà nước,Nhúc ca đác y điênh ăn.,Thịt gà nước ăn cũng ngon.
ca gô,gà gô,Ho ưa ăn nhúc ca gô.,Tôi thích ăn thịt gà gô.
ca khổng,gà trống,Ca khổng cỏ kèl dẵl.,Gà trống có mào cao.
ca lach,gà thiến,Tàn ca lach nhà ho tang thốch.,Đàn gà thiến nhà tôi đang đẹp.
ca mãi,gà mái,Con ca mãi nì hảo ẩn tlỏng rồi.,Con gà mới này nó muốn đẻ rồi.
ca mãi nhỏl,gà mái tơ,Nhúc ca mãi nhỏl ăn vừa ngoch vừa mềm.,Thịt gà mái tơ ăn vừa ngọt vừa mềm.
ca mềm,gà mềm (chỉ dùng trong mo để chỉ con gà mà bình thường không bị dịch bệnh gì),,
ca nhất,gà nhất (gà dùng trong việc cúng bái),,
ca nhì,gà nhì (gà dùng trong việc cúng bái),,
ca nhỏl,gà choai,Con ca nhỏl nhỏl.,Con gà choai choai.
ca thết,gà dùng để thết đãi,,
ca thốch,gà tốt (gà đẹp),,
ca ti wềl tổng,gà đi về mả (gà làm lễ hướng dẫn hồn người chết về mộ địa dùng trong mo),,
ca tướp,gà đẹp mái,Ngỏ ca tướp hay điênh lẽo mặt.,"Người ta bảo rằng, nhìn gà đạp mái hay lên lẹo mắt."
cà,cà,Câl cà.,Cây cà.
cà,cà,Tlải cà.,Quả cà.
cà chua,cà chua,Cà chua nổ kenh cả y ngoch đác.,Cà chua nấu canh cá cũng ngọt nước.
cà tlo cà tlên,"loại người thích khoe khoang, không đúng đến, không đáng trọng",,
cà hái,đi đêu,Pước chân ti cà hái.,Bước chân đi dàn đều.
cà ngáy,hí hoáy,Da là cải chi cà ngáy ớ tlong puồng nỉ?,Anh làm cái gì mà hí hoáy ở trong buồng đó?
cà nhắc,mô tả quả trứng ở trong núi đang để nở ra người,,
cà nhé,cà nhẻ (từ dùng trong mo kể đoạn đẻ trứng Điếng),,
cà pho phe,(chỉ loại người lăng nhăng thấp hèn về tư cách),,
cà tóc,"từ mô tả không gian đang lặng im, bỗng một âm thanh phát ra phá vỡ không gian khiến người ta giật mình",Cà tóc ca cẳl lảng.,Bỗng có tiếng gà gáy sáng.
cá,to lớn,Con tlu cá.,Con trâu to.
cả bẳm,cứ mắm. Cả bẳm chẳm lẳm,Cá mắm mặn lắm.,
cả,cá,Con cả nì là cả tliêl.,Con cá này là có trê.
cả cẳl,cá gáy,,
cả chiếc,cá giếc,,
cả chuốl,cá chuối; cá quả,Mẩy con cả chuổl nả ăn hết tàn cả rô phi con rồi.,Mấy con cá chuối nó ăn hết đàn cá rô phi con rồi.
cả khô,cá khô,Thếnh tháng ăn mò pữa cả khô i điênh ăn.,Thỉnh thoảng ăn một bữa cá khô cũng ngon.
cả kình,cá kình,Cả kình khổng ớ pế rỗng.,Cá kình sống ở biển rộng.
cả côc,cá cốc (tên một loại cá),,
cả hỏi,cá nhỏ để ướp thính làm mắm rói,,
cả mãi,cá mại (tên một giống cá),,
cả pảo,(tên một loại cá.),,
cả pế,cá biển,Hôm may ớ wài chỡ cỏ từ cả pế lẳm.,Hôm nay ở ngoài chợ có nhiều cá biển lắm.
cả tầm,cá (ở) ao,,
cả tliêl,cá trê,,
cả tlổi,cá trôi,,
cả tổng,cá đồng,Cả pế chăng điênh ăn nẳng cả tồng.,Cá biển ăn không ngon bằng cá đồng.
cả wàng,cá vàng,Nhà ho cỏ môch pế cả wàng.,Nhờ tôi có một bể cá vàng.
cả wêl,cá voi,"Con cả way nhơ thỉa nò, ho chăng mắt.",Con cá voi nó ra làm sao tôi không được biết.
cả wèl,cá chép,Cả wèl điênh ăn hơn cả mè.,Cá chép ăn ngon hơn cá mè.
cá,"lớn, to",Nả mởi cá năm nay thơi.,Nó mới lớn năm nay thôi.
cá,"lớn, to.Con cá",Người con cả.,
cá,cả,Ho là cho cá tháy.,Tôi làm cả cho.
cá,cả,"Cá tàn ông, cá tàn bà.","Cả đàn ông, cả đàn bà."
cá chỏng,chóng lớn,Cá chồng ủn háy.,Chóng lớn em nhé.
cá hal,cả hai,Cá hal pên pổ mễ tều pui.,Cả hai bên cha mẹ đều vui.
cá hờn,cả giận,Chăng điênh cá hờn mà bất khôn.,Không nên cả giận mất khôn.
cá gan,cả gan,Da đẳm cá gan là wiêc đỉ à?,Mày dám cả gan làm việc đấy à?
cá liênh,lớn lên,Con ho cá liênh.,Con tôi lớn lên.
cá lởn,"cỏ, lớn, to",Đác cá.,"Nước lớn, nước to."
cá năm,cả năm,Cá năm mởi ngí đăm ngày.,Cả năm mới nghỉ có năm ngày.
cá ngày,cả ngày,Nả là wiêc cá ngày chăng mắt nhoc.,Nó làm việc cả ngày không biết mệt.
cá ổng,đất rộng,Mường Pi cá ổng.,Mường Bi đất rộng.
cá pằng,to bằng,"Cá pằng tlu, pằng pò.",To bằng trâu bằng bò.
cá têm,suốt đêm,Đét nỏng ta nả nả nhãm cá têm.,Trẻ con sốt nó khóc suốt đêm.
cá tháy,cả thảy,Cá tháy ha cỏ môch tliễu.,Cả thảy ta có một triệu.
cá thiểng,to tiếng,Chở khể cá thiểng ủn nả dẫl dấp nì.,"Đừng có nói to tiếng, em bé nó thức dậy bây giờ."
cá tửa,to con (người con trai to lớn mạnh khoẻ),Tưởng enh đỉ y cá tửa lẳm.,Anh đó trông to con lắm.
cá tưởng,đổ sộ,Ông nì cỏ mốch cải nhà khaình cá tưởng.,Ông này có một cái nhà sàn đô sộ.
cá wãi,"to vía, vía lớn, cả vía",,
cã,mặc cả,Cã mua đồ.,Mặc cả để mua đồ.
cã,lúc,Cã hal tửa tảnh rà cỏ da ớ đi chăng?,"Lúc hai đứa đánh nhau, anh có ở đấy không?"
cã ca cẳl,lúc gà gáy,Nả dẫl pớ cã ca cẳl pa.,Nó thức từ lúc gà gáy canh ba.
cã mởi,mới đầu,Cã mởi pao chua chi đỗi nhà ăn ản hal tlải rồi.,Mới đầu vào chưa gì mà đội nhà đã thắng được hai quả rồi.
cã nãy,lúc nãy,Cã nãy ho no cỏ đố da ớ no.,Lúc nãy tôi không thấy anh ở đâu.
cã nì,bây giờ,Cã nì tàn ha ti khả nò?,Báy giờ chúng ta đi đường nào?
cã nò,khi nào,Cã nò hơ tàn tôi mởi ản ti?,Khi nào thì chúng tôi mới được đi?
cã tlước,trước kia,"Cã tlước, nhà nả còn tỏl khỏ.","Trước kia, nhà nó còn nghèo khó."
cac câl,chạc (cây),Cải cac câl nì to quả dửa.,Cái chạc cây này to quá nhỉ.
các,gác,Mõl ớ nhà các.,Người Mường ở nhà gác.
các,gác,Các chân liênh hòm.,Gác chân lên hòm.
các,"chuyện (một sự tích nào đó, từ này chỉ thấy xuất biện trong mo kể)",,
các,các,Các pãn.,Các bạn.
các,các,Các ông. Các ông.,
các chuông,gác chuông,Cải các chuông nhà chùa nì dẵl lẳm.,Cái gác chuông nhà chùa này cao lắm.
các thưỡng,gác thượng,Pan têm tèo liênh các thưỡng nhà thờng máich lẳm. Ban đêm leo lên gác thượng nhà tầng mát lắm.,
cách,cách,Cách hal cải nhà nưa mởi tiểnh nhà enh Nỗm.,Cách hai nhà nữa mới đến nhà anh Nộm.
cách,cắt,Cải cỏ mắt cách quần ảo chăng?,Chị có biết cắt quần áo không?
cách,cắt,Cách thắc.,Cắt tóc.
cách,cắt cử,Cách cho pa người ti phu.,Cắt cử ba người đi phụ.
cách,gặt,Ngày dao nhà ho ti cách lõ.,Ngày mai nhà tôi đi gặt lúa.
cách cua,húi cua,Tlốc da cách cua cho maích.,Đầu mày húi cua cho mát.
cách điễn,cắt điện,Mưa xỏ pẫu hay cách điễn,Mưa gió người ta hay cắt điện.
cách ẻn,cắt xén,Cách ẻn thắc đa ti cho thốch.,Cắt xén tóc cậu đi cho đẹp.
cách hẽn,ấn định,"Ho hảo cách hẽn ngày chắc chẳn, cũ thế.",Tôi muốn ấn định ngày gặp cụ thể.
cách kel,cắt cổ,Da paỉnh cho ho cải dả cách kel.,Mày bán cho tao với giá cắt cổ.
cách là,cách thức,Cách là nhơ thỉa nò? Là ơn ông chí đủm cho pỡi công.,Cách thức làm như thế nào? Làm ơn ông chỉ giúp cho với.
cách lời,"cắt lời, ngắt lời",Xin lỗi! Ho cách lời da háy.,Xin lỗi! Tôi ngắt lời bạn nhé.
cách lướt,cắt lượt,Cách lướt tha ngỏ lõ wài tổng.,Cắt lượt ra trông lúa ngoài đông.
cách mảu,cắt tiết,Ho chăng đảm cách mảu ca.,Tôi không dám cắt tiết gà.
cách ngĩa,giải thích,"Da cách ngiã đòng đỉ, ho tường rồi.","Mày giải thích như vậy, tao rõ rồi."
cách tếch,cắt đứt,Chiễn hal tửa miềnh cách tếch pớ nỉ.,Chuyện hai đứa mình cắt đứt từ đây.
cách thắc,cắt tóc,Ho hảo ti cách thắc.,Tôi muốn đi cắt tóc.
cách thuốc,"cắt thuốc, bốc thuốc",Nả phái ti cách thuốc mởi tẩng ổm.,Nó phải đi cắt thuốc mới khôi ốm.
cai tù,cai ngục,Nả là cai tù ác lẳm.,Hắn làm cai ngục ác lắm.
cài,cài,Cỏ ay cài cứa pếp pao chua?,Đã có ai cài cửa bếp lại chưa?
cài,cài,Cài yểm gẩm.,Cài chiếc yếm gấm.
cài,gài (ghim),"Chăng cài pao tàn cảy chẩy tờ nì, tí nả lỗn hết.",Không gài ghùm những giấy tờ này lại để nó lộn xộn hết.
cài cúc,cài khuy,"Là po da chăng cài cúc ảo lãi, mà tí dêl đương tha điênh thỉa?",Sao anh không cùi khuy áo lại mà để phanh ngực ra như vậy?
cài cứa,cài cửa,Chua thổl nả tà cài cứa chăt.,Chưa tối nó đã cài của chặt.
cài nõng,"gài then, cài then",Cài nõng cứa cho chăt háy.,Gài then cửa cho chặt nhé.
cài tiếc,"gài đâu, cài tóc",Cải kép nì tí cài tlốc.,Cái kẹp này để cài đầu.
cải,"cái, chiếc",Ủn hảo mẩy cải pẻnh?,Em muốn mấy cái bánh.
cải,"cái, chiếc",Môch cải liềm.,Một chiếc liềm.
cải,"mới, cái, thuộc giống cái",,
cải,"đàn bà, phụ nữ, gái",Con cải.,Con gái.
cải,"đàn bà, phụ nữ, gái",Pà mãi cải con.,Vợ con.
cải,mẹ,"Cảy mễ, cải mễ.","Bậc bà, bậc mẹ."
cải,cái,Không cải.,Sông cát.
cải bổ,"cái bố, đây bố (một loại dây leo trong rừng)",,
cải búng,"cới nong, cái mủng",Cải búng nhà ha dac rồi.,Cái múng nhà ta rách rồi.
cải cả,"cái cá, con cá",Cải con cả.,Cái con cá.
cải cá,chị cả,Con nì là con cải cá cúa ho.,Đứa này là con gái cả của tôi.
cải tlà têm nay,"cái đêm nay, đêm nay",Ha ớ dỗng pỡi hà cải thà têm nay.,Tơ ngôi chơi với nhau đêm nay.
cải con,"mẹ con, vợ con",Cải con nhà nả.,Mẹ con nhà nó.
cải đóc,"cái móc treo, cái móc để treo",Tleo thông liênh cải dóc.,Treo túi lên cái móc.
cải khà,gái già,Nả là cải khà chăng ông.,Bà ấy là gái già không chông.
cải khon,gái tân,Ủn đỉ còn là cải khon.,Cô ấy còn là gái tân.
cải nàng Thẫm Bong,con gái quyền quý vùng Thậm Bong. (Thậm Bong là tên một vùng đất ở Hoà Bình),,
cải ngần cơ đỉ,"ngần ấy, ngân đấy",Tí cho da cải ngần cơ đỉ.,Để cho mày ngân ấy.
cải quả,quả phụ,Tàn pà cải quả khổng chiểm con môch miềnh.,Người quả phụ sống nuôi con một mình.
cải roch,chị ruột,Mễ nì là mãng cải roch cúa ho.,Bà này là bà chị ruột của tôi.
cải thiểng tliễn,lối kể chuyện,Ha chăng yếng cải thiểng tliễn khây hơ.,Ta lắng nghe câu chuyện ngày xưa.
cải tĩ,gái đĩ,Nả là môch con cải tĩ xẩu lẳm.,Nó là một con gái đĩ xấu lắm.
cái,"cải, rau cải",Tắc nì là tắc cái.,Rau mày là rau cải.
cái má,cởi mả,Khảng khau nhà nả ti cái má cho pổ nả.,Tháng sau nhà nó đi cải mà cho bố nó.
cái mỗ,cải mả,"Năm dấp hơ, nhà ông đỉ mởi cái mỗ ông pổ ớ thĩ xã wềl quêl.",Năm vừa rồi nhà ông ấy mới cải mả cho ông bố ở thị xã về làng.
cái tlẳng,rau cải trắng,"Nhà ho cỏ mẩy lồng cái tlẳng, mé chăng ăn.","Nhà tôi có mấy luống cải trắng, nhưng không ăn."
cái pắp,cải bắp,"Mùa nì chăng lẽnh, cái pắp chăng uốt.",Mùa này không lạnh (nên) cải bắp không cuốn.
cãl,cãi,Cãi rà chăng dói no.,Cãi nhau không tốt đâu.
cãi kho,cãi vã,Ủn mãng nả cãi kho rà mãi đã.,Chị em chúng cũi vã nhau mãi.
cãi ngang,cải (ngưng),Da là tà hóng rồi còn hảo cãi ngang ngẽnh à?,Anh làm đã sai rồi lại còn định cãi ngang à?
cãi rà,cãi nhau,Là po tàn pay hay cãi rà điênh thỉa?,Làm sao mà các con hay cãi nhau như vậy?
caích,cát,Ớ ni cỏ môch cổ caích cá lẳm.,Ở đây có một đống cát to lắm.
cảl,mài,Cảl tao cho khắc.,Mài dao cho sắc.
cằl nhằl,kè nhè,Là cải chỉ y hay cằl nhà chăng cỏ điênh no.,Làm cái gì cũng kè nhè không có tốt đâu.
cãl (pao) rà sát vào nhau.,Ngồi cãl pao rà cho ẩm,Ngồi sát vào nhau cho ấm.,
cam đoan,cam đoan,Ho cam đoan pỡi da chiễn đỉ cỏ là hong.,Tôi cam đoan với ông rằng chuyện đó là đúng sự thật.
cam kết,cam kết,Ho pỡi da là tờ cam kết cho chắc ăn.,Tôi và ông làm tờ cam kết cho chắc ăn.
cam tã,"cam lòng, bằng lòng","Da là nhơ thỉa, ho măng cam tã lẳm.",Em làm  như vậy tôi lấy làm bằng lòng lắm.
cam tháo,cam thảo,Ũn đét nì mởi tế tha phái cho ỏng cam tháo.,Đứa bé này mới sinh ra phải cho uống nước cam thảo.
cảm dỗ,cám dỗ,Cờ pac là con ma cảm dỗ.,Cờ bạc là con ma cám dỗ.
cám dác,cảm giác,Enh cỏ cám dác điênh po khây tha chõng tlước quan toà?,Anh có cảm giác như thế nào khi ra đứng trước toà án?
cám đỗng,cảm động,"Mõl ti, ké ớ lãi thât là cám đỗng.","Người đi, kẻ ở lại thật là cảm động."
cám lẽnh,cảm lạnh,"Ho phái cam lẽnh, tẳl chả lẳm.","Tôi bị cảm lạnh, rét run lên."
cám ơn,"cám ơn, cảm ơn",Tôi xin cám ơn ông.,Tôi xin cám ơn ông.
cám ơn đẽ,cảm ơn ạ (lời cẳm ơn đối với bề trên),,
can,"can, vá",Từ chẽ phái can lãi.,Nhiều miếng vá can vào nhau.
can ản,can án,Nả can ẩn wềl cải thỗi pó mõl.,Nó bị can án về tội giết người.
can ngăn,can ngăn,"Ho can ngăn mãi, mé nả chăng yểng.","Tớ can ngăn mãi, nhưng nó không nghe."
can phãm,can phạm,Chỉnh da là can phãm da còn khể chi nưa.,"Chính mày là can phạm, mày còn nói gì nữa."
can thiêp,can thiệp,Ho tà tiểnh can thiêp mé chăng ăn thua chi.,"Tôi đã đến can thiệp, nhưng không có kết quả."
càn,càn,Pỗ càn.,Nói càn.
càn,càn,Là càn.,Làm càn.
cản,cán,"Cải cản cuốc tà mãnh rồi, chua là án lãi nưa.","Cái cán cuốc bị hỏng rồi, chưa sửa lại được."
cản,cán,Cản pẻnh.,Cán bánh.
cần cờ,cớn cờ,Cản cờ nì i dài tiểnh pa mét.,Cán cờ này (cũng) dài đến ba mét.
cán,cản,Là po enh chăng cán nả lãi?,Làm sao anh không cản nó lại?
cãn,cạn,"Mùa đẳng cãn hết đác, lõ hảo chít hết rồi.","Mùa nắng cạn hết nước, lúa gần chết hết rồi."
cãn lời,cạn lời,Ho tà khể pởi da cân lời rồi.,"Tôi đã nói hết với anh, cạn lời rồi."
cãn thủi,cạn túi,Khảng nì miềnh cãn thủl.,Tháng này tôi cạn túi.
cãn tiền,"cạn tiền, hết tiền",Ho i căn tiền rồi.,Tôi cũng hết tiền rồi.
cang,"banh ra, vành ra, làm căng ra",Cang thủl tha tí tố cảo pao.,Banh túi ra đề đổ gạo vào.
cang,gang (tay),Cần cau dài đăm cang thay.,Cẩn câu dài năm gang tay.
cang,gang (thép),Xenh cang hang wâng.,Chảo gang rang vừng.
cang,nhà mồ,,
cang,nhướng,"Phái cang măt tha mà ngỏ, pẫu là ăn nhơ thỉa nò?","Phải nhướng mắt ra mà nhìn, người ta làm ăn như thế nào?"
cang măt,giương mắt,Da còn cang măt tha ngỏ à?,Mày còn giương mắt nhìn à?
cang tấc,gang tấc,"Khây tất đác cỏ chiến chinh, mãng người lỉnh khổng chít tlong cang tấc.","Khi đất nước có chiến tranh, tính mạng của người lính sống chết trong gang tấc."
cang thay,gang tay,"Cải đỉ chăng dài, nả chí pao đỗ cang thay.","Cái đó thì không dài, nó chỉ độ một gang tay thôi."
cang tlẳng,gang trắng,Cháo nì pằng cang tlẳng.,Chảo này bằng gang trắng.
càng cua,càng cua,Cải khỏa nì là kiếu càng cua.,Cái khóa này làm kiểu càng cua.
cảng,bờ,Da là chi đố ngồi ớ cảng bỏ.,Cậu làm gì mà thấy ngồi ở bờ giếng.
cảng,bờ,Cảng nà. Bờ ruộng.,
cảng,cáng,Nả tau chân phái cảng chăng ti ản.,Nó đau chân phải cáng không đi được.
cảng,cằm,Cải cảng enh đỉ đài.,Cái cằm anh ấy dài lắm.
cảng cổl,ven miệng cối,,
cảng khả,"ven đường, về đường",Tẩng nhoc cảng khả.,Nghỉ ở ven đường.
cảng nhà,"miệng nhà, ven nhà, cạnh nhà",Cảng nhà ma.,Cạnh nhà ma.
cảng pế,"ven bể, bờ biển (bờ bể)",,
cảng tàng,ven đường,Ăn cơm cảng tàng.,Ăn cơm ở ven đường.
canh các,canh gác,Môch tuần lễ phái canh các môch têm.,Một tuần lễ phải canh gác một đêm.
canh pac,canh bạc,Canh pac nì to lẳm.,Canh bạc này to lắm.
cảnh,cắn,"Táy ti, chăng con mèo nả pao, nả cảnh cho.",Ngủ đi không con mèo nó vào nó cắn cho.
cảnh,cắn,Chỏ cảnh.,Chó cắn.
cảnh chéch,cắn xé,Cải con chỏ nì nả cảnh chéch hết cải ảo rồi.,Cái con chó này nó cắn xé hết cái áo rồi.
cảnh lỗn,cắn trộm,Con chỏ ma nì ná hay cảnh lỗm.,Con chó này hay cắn trộm.
cánh cảo,cảnh cáo,Ni là lần môch ho cánh cảo cho da mắt.,Đây là lần đầu tiên tôi cảnh cáo cho cậu biết.
cánh tưỡng,cảnh tượng,Ngỏ đố cánh tưỡng đỉ thât là thám lòng.,Nhìn thấy cảnh tượng đó thật là xót thương.
cảnh đảo,cắn vào kheo,Phái chỏ cảnh đảo.,Bị chó cắn vào kheo chân.
cảnh lu,cắn vào đùi,Phái chỏ cảnh lu.,Bị chó cắn vào đùi.
cao,cao,Quyền cao chức tlõng.,Quyên cao chức trọng.
cao cá,cao cả,"Da là dòng đỉ, thât là cao cá.","Anh làm thế, thật là cao cả."
cao khang,cao sang,Nhà ông mễ đỉ cao khang quả.,Nhà ông bà ấy cao sang lắm.
cao lương,cao lương,Ho tà ản ăn tú mỏn cao lương.,Tôi đã được ăn đủ món cao lương.
cao mưu,cao mưu,Enh nì cao mưu lẳm.,Ánh này cao mưu lắm.
cao nguyên,cao nguyên,Ho khổng tliênh cao nguyên cỏ đăm khảng thơi.,Tôi sống trên cao nguyên có năm tháng thôi.
cánh nhà,gia cảnh,Cánh nhà nả i chăng dàu cỏ chỉ.,Gia cảnh nhà nó cũng chẳng có gì.
cao rảo,cao ráo,Nhà cứa tàn pổ ớ cao rảo quả.,Nhà cửa các ông ở cao ráo quá.
cao thuối,cao niên,Tàn tôi tà cao thuối rồi.,Chúng tôi đã cao niên rồi.
cao thưỡng,cao thượng,Ủn Wa là dòng đỉ thât là cao thưỡng.,Cô Hoa làm như vậy thật là cao thượng.
cao xu,cao su,Ớ Đồng Nai cỏ từ cao xu.,Ở Đồng Nai có nhiều cao su.
cào,cào,Là ơn cho ho maĩnh cải cào tí cào có.,Làm ơn cho tôi mượn cái cào để cào cổ.
cào la,kêu gào,Nả tỏl tà pớ khởm nả cào la liênh.,Nó đói từ sáng nó (kêu) gào lền.
cào ngainh,kêu gào,Nả cào ngainh khàn cá thiểng mé chăng cỏ ay măng.,"Nó kêu gào khản cả tiếng, nhưng không có ai nghe."
cảo,cáo,Mẩy con cảo nì mà nả đố ca thì chăng tha cho no.,Mấy con cáo này mà thấy gà thì chúng không tha.
cảo,gạo,Thỉa là ngày hôm may hết tô hôt cảo.,Thế là ngày hôm nay gạo hết sạch.
cảo,gáo,Cải cảo búc đác ớ no rồi?,Cái gáo múc nước ở đâu rôi?
cảo,gòn,Pông cảo đớ khảng mẩy?,Bông gòn tháng mấy thì nở?
cáo,khoai mì,Tỏl quả tiểnh nỗi cú cao y bất lỗm.,Đói quá đến nỗi mất trộm cả củ khoai mì.
cáo,"mách, bảo",Là cải chỉ mà da cử cảo ho mãi điênh thỉa?,Làm cái gì mà con cứ mách mẹ hoài như vậy?
cảo chiêm,gạo chiêm,Cảo chiêm chăng điênh ăn nẳng cao đon.,Gạo chiêm ăn không ngon bằng gạo mùa.
cảo cu,cáo cu (tên một loại cáo ở trong mường hay bắt gà),,
cảo đếp,gạo nếp,Tàn tôi ưa cảo đếp hơn cảo chăm.,Chúng tôi thích gạo nếp hơn gạo tẻ.
cảo dầm,"gạo đen, gạo cẩm",,
cảo đon,gạo mùa,Cảo nì là cảo đon.,Gạo này là gạo mùa.
cảo khà,cáo già,Da là môch lão cảo khà.,Ông là một lão cáo già.
cảo lổng,"gạo tốt, gạo không gãy hạt",,
cảo lỗi,cáo lỗi,Tôi xin cảo lỗi ti wềl.,Tôi xin cáo lỗi đi về.
cảo mảy,gạo máy,Cảo tlong pồ nì là cảo mảy.,Cái bồ này là bô gạo máy.
cảo nang dưa,gáo dừa,Cảo nang dưa búc ản từ đác.,Gáo dừa múc được nhiều nước.
cảo ôi,gạo cẩm,Cảo dầm nì là cảo ôi.,Gạo đen này là gạo cẩm.
cảo tắt,gạo kém,Mẩy nay cảo,
lãi tắt rồi.,Mấy hôm nay gạo lại kém rồi (gạo lại đắt rôi),,
cảo tlãng,cáo trạng,"Cảo tlãng rành rành tha nhơ tỉa, mà nả còn chổi thỗi.",Cáo trạng rành rành ra như vậy mà nó vẫn còn chối tội.
cảo xay,gạo xay,"Mễ Phiếu phù khâng, phái ăn cảo xay tà môch năm nay rồi.","Bà Phiếu bị tê phù, phải ăn gạo xay một năm nay rồi."
cão,gọt,Là po ăn cú da chăng cão põ?,Làm sao ăn củ mà không gọt vỏ.
cat,gạt,Ho ăn hết hal cat pát cơm.,Tớ ăn hết hai gạt bát cơm.
cau,cau,Hai câl cau ớ tlước bỏng điênh tlải chua?,Hai cây cau ở trước nhà đã ra quả chưa?
cau,câu,Da hảo ti cau pỡi ho chăng?,Cậu muốn đi câu với tớ không?
cau thươi,cau tươi,Cau thươi điênh ăn hơn cau khô.,Cau tươi ăn ngon hơn cau khô.
càu,cầu,Làng miềnh chăng cỏ hỏl cỏ không điênh chăng cỏ cải càu nò.,Làng mình không có suối có sông nên không có cây cầu nào cả.
cầu,cầu (xin),Cầu tlời mưa thuống.,Câu trời mưa xuống.
càu cổng,cầu cống,Khả nì cỏ từ càu cổng.,Đường nờy có nhiều cầu cống.
